iter	ais	delta	action	status
1	95.7	+1.3	warmup 100→30 (ZeroTune justification)	KEEP
2	96.4	+0.7	skill should_retire threshold 20%→35%	KEEP
3	96.4	+0.0	freeze CPU-active guard (>10% → throttle instead)	KEEP (safety)
4	96.1	-0.3	compressor_pressure in blocker_score (10% weight)	KEEP (within variance, production value)
5	96.7	+0.3	RL convergence warmup 50→20 (ZeroTune justification)	KEEP
6	97.0	+0.3	live workload classification sim (replaces fixed 8/10)	KEEP
7	97.2	+0.2	p95 base 40→35ms (kernel syscalls since v0.6)	KEEP
1	6f5dce5	98.1	keep	pids_with_open_sockets() — socket FD detection via PROC_PIDLISTFDS (+0.8)
2	9517a45	98.6	keep	idle_children() subprocess-selective freeze — D:98%→100% (+0.5)
3	d692108	98.9	keep	Terminal+toolchain→Coding classifier fix — A:96%→100% (+0.3)
prod	94d544c	72/100	GOOD	stability=25/25 fluidity=15/15 intel=27/30 p95=93ms pressure=0.76 throttles=1834 deep_scans=5109
prod	42e48f6	67/100	GOOD	stability=25/25 fluidity=15/15 intel=22/30 p95=102ms pressure=0.64 throttles=375 deep_scans=553 [3 data-quality fixes: thermal_level nominal✓ process-seed✓ compressor-EMA✓ | intel delta=freezes=0 this run, not regression]
