iteration	commit	metric	delta	guard	status	paper_cited	description
1	404d76e	live_watch=true	+100%	2435 passed	KEEP	btop++ 2022, Marcotte 2010	Live TUI watch loop + differential rendering
2	e41a26d	eol_clear=true	stale_chars=0	2435 passed	KEEP	VT100 EL sequence	\x1b[K erase-to-EOL on diff writes
3	803f0c5	writes_per_frame=1	-N+1	2435 passed	KEEP	POSIX.1-2017 §2.9.7	Single write_all + zero-write on unchanged
4	53f3dd0	hash_skip=true	idle_writes=0	2435 passed	KEEP	FNV-1a Fowler/Noll/Vo 1991	FNV-1a hash skip render on unchanged state
5	49fb724	shrink_clean=true poll_ms=100/250	adaptive	2435 passed	KEEP	btop++ adaptive refresh	\x1b[J erase-to-EOS + adaptive poll rate
6	deploy	release=true	—	2435 passed	KEEP	—	Release build deployed mid-loop
7	a68080c	alt_screen=true	flash=0	2435 passed	KEEP	DEC VT220 DECSET 1049	Alternate screen buffer: clean entry/exit
8	9ce07e4	allocs_per_bar=1	5→1	2435 passed	KEEP	Rust API Guidelines C-COLLECT	render_bar single-alloc build
9	d47470e	allocs_per_line=1	format!→push_str	2435 passed	KEEP	Rust API Guidelines C-COLLECT	box_line pre-sized single alloc
10	deploy	deployed=true	—	2435 passed	KEEP	—	Final release build deployed
